Código,Título,Autor,Precio
1,1984,George Orwell,"23,89€"
2,Cien años de soledad,Gabriel García Márquez,"8,36€"
3,El gran Gatsby,F. Scott Fitzgerald,"10,55€"
4,Matar un ruiseñor,Harper Lee,"21,57€"
5,Don Quijote de la Mancha,Miguel de Cervantes,"21,49€"
6,Orgullo y prejuicio,Jane Austen,"21,75€"
7,El señor de los anillos,J.R.R. Tolkien,"17,66€"
8,Rayuela,Julio Cortázar,"9,28€"
9,La metamorfosis,Franz Kafka,"8,92€"
10,En busca del tiempo perdido,Marcel Proust,"15,68€"
11,Crónica de una muerte anunciada,Gabriel García Márquez,"20,82€"
12,Crimen y castigo,Fyodor Dostoevsky,"8,97€"
13,Moby Dick,Herman Melville,"22,33€"
14,El extranjero,Albert Camus,"20,11€"
15,Anna Karenina,León Tolstói,"24,03€"
16,Las uvas de la ira,John Steinbeck,"11,20€"
17,El nombre de la rosa,Umberto Eco,"10,44€"
18,El retrato de Dorian Gray,Oscar Wilde,"10,12€"
19,Guerra y paz,León Tolstói,"21,85€"
20,La odisea,Homero,"18,72€"
21,Los miserables,Victor Hugo,"24,63€"
22,Ulises,James Joyce,"11,27€"
23,El guardián entre el centeno,J.D. Salinger,"15,25€"
24,La naranja mecánica,Anthony Burgess,"11,31€"
25,Drácula,Bram Stoker,"23,07€"
26,El principito,Antoine de Saint-Exupéry,"10,31€"
27,El viejo y el mar,Ernest Hemingway,"20,24€"
28,La historia interminable,Michael Ende,"19,31€"
29,Frankenstein,Mary Shelley,"17,43€"
30,La insoportable levedad del ser,Milan Kundera,"12,96€"
31,El amor en los tiempos del cólera,Gabriel García Márquez,"18,20€"
32,Los pilares de la Tierra,Ken Follett,"21,02€"
33,La ciudad y los perros,Mario Vargas Llosa,"18,51€"
34,Los renglones torcidos de Dios,Torcuato Luca de Tena,"20,01€"
35,El alquimista,Paulo Coelho,"21,21€"
36,El jardín secreto,Frances Hodgson Burnett,"13,64€"
37,La hoguera de las vanidades,Tom Wolfe,"7,92€"
38,La catedral del mar,Ildefonso Falcones,"16,36€"
39,El perfume,Patrick Süskind,"21,79€"
40,El laberinto de los espíritus,Carlos Ruiz Zafón,"23,89€"
41,Los hombres que no amaban a las mujeres,Stieg Larsson,"9,50€"
42,El club de la lucha,Chuck Palahniuk,"10,27€"
43,La ladrona de libros,Markus Zusak,"16,28€"
44,El día que Nietzsche lloró,Irvin D. Yalom,"10,20€"
45,Memorias de una geisha,Arthur Golden,"16,17€"
46,El silencio de la ciudad blanca,Eva García Sáenz de Urturi,"24,40€"
47,Sapiens: De animales a dioses,Yuval Noah Harari,"9,24€"
48,La chica del tren,Paula Hawkins,"19,91€"
49,Los juegos del hambre,Suzanne Collins,"11,66€"
50,La sombra del viento,Carlos Ruiz Zafón,"18,26€"
